text_length,word_count,avg_word_length,max_token_length,uppercase_ratio,digit_ratio,punct_ratio,line_count,non_ascii_ratio,zero_width_count,url_count,trigger_keyword_count,role_keyword_count,delimiter_marker_count,has_base64_blob,label,category,target_delta,cs_class,family_l2,technique_l3,conjecture,multi_turn,domain,template_group,obfuscation,language,carrier
691,58,10.207,50,0.3227,0.0087,0.2851,16,0.0,0,0,8,4,49,0,injection,injection,delta1,overt,direct_prompt_injection,attacker_submitted_prompt_body_injection,C1,0,medical,01-conjecture-1-structural-bypass,none,en,clinical_prompt
95,3,31.0,43,0.5672,0.0211,0.2316,1,0.0,0,0,1,1,0,0,injection,injection,delta1,overt,direct_prompt_injection,attacker_submitted_attached_data_injection,,0,medical,02-hl7-injection-obx,none,en,clinical_prompt
133,20,5.7,15,0.0645,0.0677,0.0902,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
133,19,6.053,15,0.0769,0.0827,0.0977,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
141,20,6.1,16,0.0645,0.0638,0.1418,1,0.0567,8,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,zero_width,en,clinical_prompt
130,19,5.895,15,0.0769,0.0692,0.0923,1,0.0538,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,homoglyph,en,clinical_prompt
131,19,5.947,15,0.0769,0.0763,0.0916,1,0.0992,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,homoglyph,en,clinical_prompt
134,19,6.105,15,0.0769,0.0672,0.1194,1,0.0299,4,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,zero_width,en,clinical_prompt
130,19,5.895,15,0.0769,0.0692,0.0923,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
137,19,6.263,16,0.0769,0.073,0.1314,1,0.0438,6,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,zero_width,en,clinical_prompt
136,20,5.85,15,0.0645,0.0662,0.1103,1,0.0221,3,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,zero_width,en,clinical_prompt
130,19,5.895,15,0.0667,0.0769,0.0923,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
130,19,5.895,15,0.0769,0.0692,0.0923,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
133,20,5.7,15,0.0645,0.0677,0.0902,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
134,19,6.105,15,0.0769,0.0896,0.097,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
133,20,5.7,15,0.0645,0.0677,0.0902,1,0.0677,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,homoglyph,en,clinical_prompt
